country,region,city,customer_segment,customer_age_group,previous_device_os,customer_id
Argentina,South America,Buenos Aires,Government,45–54,Unknown,1
Argentina,South America,Buenos Aires,Business,45–54,Unknown,2
Argentina,South America,Buenos Aires,Individual,18–24,Unknown,3
Argentina,South America,Buenos Aires,Education,45–54,Unknown,4
Argentina,South America,Buenos Aires,Education,18–24,Unknown,5
Argentina,South America,Buenos Aires,Education,55+,Unknown,6
Argentina,South America,Buenos Aires,Government,35–44,Unknown,7
Argentina,South America,Buenos Aires,Education,25–34,iOS 16,8
Argentina,South America,Buenos Aires,Government,18–24,Unknown,9
Argentina,South America,Buenos Aires,Business,25–34,Unknown,10
Argentina,South America,Buenos Aires,Individual,45–54,Unknown,11
Argentina,South America,Buenos Aires,Government,55+,Unknown,12
Argentina,South America,Buenos Aires,Education,35–44,New User,13
Argentina,South America,Buenos Aires,Education,35–44,iOS 16,14
Argentina,South America,Buenos Aires,Education,45–54,Other,15
Argentina,South America,Buenos Aires,Business,55+,Unknown,16
Argentina,South America,Buenos Aires,Individual,55+,Unknown,17
Argentina,South America,Buenos Aires,Education,35–44,Unknown,18
Argentina,South America,Buenos Aires,Government,25–34,Unknown,19
Argentina,South America,Buenos Aires,Government,45–54,New User,20
Argentina,South America,Buenos Aires,Individual,35–44,Unknown,21
Argentina,South America,Buenos Aires,Individual,25–34,Unknown,22
Argentina,South America,Buenos Aires,Business,45–54,iOS 15,23
Argentina,South America,Córdoba,Business,55+,Other,24
Argentina,South America,Córdoba,Individual,55+,Unknown,25
Argentina,South America,Córdoba,Education,18–24,iOS 16,26
Argentina,South America,Córdoba,Government,25–34,Unknown,27
Argentina,South America,Córdoba,Education,18–24,Unknown,28
Argentina,South America,Córdoba,Government,55+,Unknown,29
Argentina,South America,Córdoba,Business,45–54,Unknown,30
Argentina,South America,Córdoba,Business,25–34,Unknown,31
Argentina,South America,Córdoba,Education,18–24,Android,32
Argentina,South America,Córdoba,Government,18–24,iOS 16,33
Argentina,South America,Córdoba,Government,25–34,Android,34
Argentina,South America,Córdoba,Education,35–44,iOS 17,35
Argentina,South America,Córdoba,Business,25–34,iOS 15,36
