sale_id,sale_date,month,season,year,customer_id,product_id,units_sold,revenue_usd,discount_level,discount_amount,discount_pct,customer_rating,return_status
APPL-00000001,2022-01-03,January,Winter,2022,1,1,1,148.12,Medium,11.150000000000006,7,4.1,Kept
APPL-00000002,2022-01-04,January,Winter,2022,2,2,5,127.45,High,4.5,15,4.8,Kept
APPL-00000003,2022-05-18,May,Spring,2022,3,3,4,1175.68,No Discount,0.0,0,4.3,Kept
APPL-00000004,2022-05-23,May,Spring,2022,4,4,2,3865.54,No Discount,0.0,0,,Kept
APPL-00000005,2022-07-13,July,Summer,2022,5,5,3,2153.01,Low,37.770000000000095,5,,Kept
APPL-00000006,2022-07-31,July,Summer,2022,6,6,3,309.06,No Discount,0.0,0,4.9,Kept
APPL-00000007,2022-08-01,August,Summer,2022,7,4,1,1943.59,Low,60.11000000000013,3,3.6,Kept
APPL-00000008,2022-08-04,August,Summer,2022,8,7,8,8356.96,High,184.34000000000012,15,4.7,Kept
APPL-00000009,2023-01-14,January,Winter,2023,9,8,8,983.92,No Discount,0.0,0,4.7,Kept
APPL-00000010,2023-01-26,January,Winter,2023,10,9,1,520.05,No Discount,0.0,0,3.6,Kept
APPL-00000011,2023-01-29,January,Winter,2023,11,10,2,772.18,Medium,29.06,7,,Kept
APPL-00000012,2023-02-02,February,Winter,2023,12,11,1,995.72,Low,20.319999999999936,2,4.4,Kept
APPL-00000013,2023-03-08,March,Winter,2023,13,12,1,973.02,Low,51.21000000000004,5,,Kept
APPL-00000014,2023-04-16,April,Spring,2023,14,13,1,867.98,Medium,96.43999999999994,10,3.4,Kept
APPL-00000015,2023-05-17,May,Spring,2023,15,14,3,2786.16,No Discount,0.0,0,,Kept
APPL-00000016,2023-07-06,July,Summer,2023,16,15,2,57.72,Medium,2.1700000000000017,7,4.7,Kept
APPL-00000017,2023-08-01,August,Summer,2023,3,6,2,197.24,Low,3.049999999999997,3,4.8,Kept
APPL-00000018,2023-08-07,August,Summer,2023,17,1,4,623.16,No Discount,0.0,0,,Kept
APPL-00000019,2023-08-22,August,Summer,2023,16,16,2,2077.34,Low,21.199999999999815,2,4.5,Exchanged
APPL-00000020,2023-08-28,August,Summer,2023,7,17,1,839.97,No Discount,0.0,0,,Kept
APPL-00000021,2023-09-12,September,Summer,2023,18,18,1,120.21,Low,6.3300000000000125,5,4.7,Kept
APPL-00000022,2023-11-12,November,Fall,2023,19,19,2,1215.98,Low,32.0,5,4.3,Kept
APPL-00000023,2023-11-28,November,Fall,2023,20,20,2,769.1,Medium,28.94,7,3.9,Kept
APPL-00000024,2024-04-19,April,Spring,2024,7,21,1,775.91,No Discount,0.0,0,4.7,Kept
APPL-00000025,2024-05-01,May,Spring,2024,9,22,1,389.34,Medium,29.30000000000001,7,,Kept
APPL-00000026,2024-06-21,June,Summer,2024,21,23,2,148.68,Low,3.9099999999999966,5,4.5,Kept
